"Rank","Name","Worldwide_Box_Office","Movies","Average"
574,"Christopher Eccleston",1029956107,4,257489027
575,"Gene Hackman",1025105486,19,53952920
576,"Christina Ricci",1025084030,24,42711835
577,"Diane Lane",1023976450,27,37925054
578,"Gary Oldman",1017951954,20,50897598
579,"Tracy Morgan",1016317692,14,72594121
580,"Robert Guillaume",1014855646,2,507427823
581,"Benjamin Barnes",1014401576,9,112711286
582,"Danielle Brooks",1009552191,3,336517397
583,"Bill Pullman",1009162875,21,48055375
584,"Jason Biggs",1003682627,10,100368263
585,"Rihanna",997194324,5,199438865
586,"Michael Stuhlbarg",995885737,3,331961912
587,"Paul Dano",994278009,13,76482924
588,"Thomas Ian Nicholas",990378864,7,141482695
589,"Eddie Kaye Thomas",990376564,4,247594141
590,"Téa Leoni",989164105,7,141309158
591,"Zhang Ziyi",988516524,9,109835169
592,"Ernie Sabella",988389726,1,988389726
593,"Jonathan Taylor Thomas",988389726,1,988389726
594,"David Harbour",986665490,10,98666549
595,"Mark Strong",985362458,15,65690831
596,"John Krasinski",984273207,13,75713324
597,"Mandy Moore",982123146,12,81843596
598,"Chris Tucker",980448685,5,196089737
599,"Zhang Xiaofei",977353725,3,325784575
600,"Pedro Pascal",972408233,10,97240823
601,"Eddie Peng",970734730,9,107859414
602,"Macaulay Culkin",970650653,5,194130131
603,"Natasha Lyonne",968121764,12,80676814
604,"Justin Bartha",967794010,6,161299002
605,"Chris Miller",966623305,2,483311653
606,"Dev Patel",965826975,15,64388465
607,"Heather Graham",962388438,25,38495538
608,"Phoebe Waller-Bridge",962013074,3,320671025
609,"Freddie Highmore",961277980,12,80106498
610,"Jack Davenport",960996492,1,960996492
