"","title","release_date","us_distributor","video_id","Unnamed..0","year"
"640","Wild Robot, The","2024-10-10","Universal","67vbA5ZJdKQ",23,2024
"641","Reagan","2024-10-10","Showbiz Direct Distribution","7IcAsIvzSaM",24,2024
"642","In a Violent Nature","2024-10-10","IFC Films","WyXuRmXbS7U",25,2024
"643","Smile 2","2024-10-17","Paramount","0HY6QFlBzUY",31,2024
"644","Megalopolis","2024-10-17","Lionsgate","pq6mvHZU0fc",32,2024
"645","Venom: The Last Dance","2024-10-24","Sony","__2bjWbetsA",35,2024
"646","Goodrich","2024-10-24","Falling Forward Films","7OlyW0AqDQo",36,2024
"647","Anora","2024-10-31","Neon Rated","yWtzcjoUx7c",37,2024
"648","Red One","2024-11-07","Amazon MGM Studios","U8XH3W0cMss",40,2024
"649","Conclave","2024-11-07","Focus Features","JX9jasdi3ic",41,2024
"650","Terrifier 3","2024-11-07","Iconic Events","zaPcin5knJk",42,2024
"651","Here After","2024-11-07","Independent","ukhI37_Z9XA",43,2024
"652","Gladiator II","2024-11-14","Paramount","4rgYUipGJNo",44,2024
"653","Heretic","2024-11-21","A24","O9i2vmFhSSY",45,2024
"654","Elevation","2024-11-21","Emick","ZivlF_UYkN0",46,2024
